,scan,retention_time,intensity
0,947.0,16.6516170502,0.0
1,948.0,16.6686840057,0.0
2,949.0,16.6857662201,0.0
3,950.0,16.7028331757,0.0
4,951.0,16.7199001312,0.0
5,952.0,16.7369842529,0.0
6,953.0,16.7540493011,0.0
7,954.0,16.7711334229,0.0
8,955.0,16.7882003784,0.0
9,956.0,16.805267334,0.0
10,957.0,16.8223495483,0.0
11,958.0,16.8394165039,0.0
12,959.0,16.8564834595,115.0
13,960.0,16.8735675812,0.0
14,961.0,16.8906326294,0.0
15,962.0,16.9077167511,297.0
16,963.0,16.9247837067,0.0
17,964.0,16.9418506622,0.0
18,965.0,16.9589328766,0.0
19,966.0,16.9956169128,0.0
20,967.0,17.0126838684,0.0
21,968.0,17.029750824,0.0
22,969.0,17.0468330383,0.0
23,970.0,17.0638999939,0.0
24,971.0,17.0809669495,0.0
25,972.0,17.0980491638,0.0
26,973.0,17.1151161194,0.0
27,974.0,17.1322002411,0.0
28,975.0,17.1492671967,0.0
29,976.0,17.1663341522,0.0
30,977.0,17.1834163666,0.0
31,978.0,17.2004833221,0.0
32,979.0,17.2175502777,0.0
33,980.0,17.2346324921,0.0
34,981.0,17.2516994476,0.0
35,982.0,17.2687835693,0.0
36,983.0,17.2858505249,0.0
37,984.0,17.3029174805,0.0
38,985.0,17.3199996948,0.0
39,986.0,17.3370666504,0.0
40,987.0,17.354133606,0.0
41,988.0,17.3712158203,0.0
42,989.0,17.3882827759,0.0
43,990.0,17.4053668976,0.0
44,991.0,17.4224338531,0.0
45,992.0,17.4395008087,0.0
46,993.0,17.4565830231,0.0
47,994.0,17.4736499786,0.0
48,995.0,17.4907169342,0.0
49,996.0,17.5077991486,0.0
50,997.0,17.5248661041,0.0
51,998.0,17.5419502258,0.0
52,999.0,17.5590171814,0.0
53,1000.0,17.576084137,0.0
54,1001.0,17.5931663513,0.0
55,1002.0,17.6102333069,0.0
56,1003.0,17.6273174286,0.0
57,1004.0,17.6443824768,0.0
58,1005.0,17.6614494324,0.0
59,1006.0,17.6785335541,0.0
60,1007.0,17.6956005096,0.0
61,1008.0,17.7322826385,0.0
62,1009.0,17.7493495941,0.0
63,1010.0,17.7664337158,0.0
64,1011.0,17.7835006714,0.0
65,1012.0,17.8005657196,0.0
66,1013.0,17.8176498413,0.0
67,1014.0,17.8347167969,0.0
68,1015.0,17.8517837524,0.0
69,1016.0,17.8688659668,0.0
70,1017.0,17.8859329224,0.0
71,1018.0,17.9030170441,0.0
72,1019.0,17.9200839996,0.0
73,1020.0,17.9371490479,210.0
74,1021.0,17.9542331696,486.0
75,1022.0,17.9713001251,698.0
76,1023.0,17.9883670807,617.0
77,1024.0,18.005449295,903.0
78,1025.0,18.0225162506,1075.0
79,1026.0,18.0396003723,894.0
80,1027.0,18.0566673279,1297.0
81,1028.0,18.0737342834,1300.0
82,1029.0,18.0908164978,977.0
83,1030.0,18.1078834534,861.0
84,1031.0,18.1249675751,705.0
85,1032.0,18.1420326233,584.0
86,1033.0,18.1590995789,519.0
87,1034.0,18.1761837006,639.0
88,1035.0,18.1932506561,716.0
89,1036.0,18.2103176117,419.0
90,1037.0,18.227399826,312.0
91,1038.0,18.2444667816,194.0
92,1039.0,18.2615509033,238.0
93,1040.0,18.2786159515,420.0
94,1041.0,18.2956829071,756.0
95,1042.0,18.3127670288,1917.0
96,1043.0,18.3298339844,5103.0
97,1044.0,18.3469161987,13197.0
98,1045.0,18.3639831543,20114.0
99,1046.0,18.3810501099,27569.0
100,1047.0,18.3981342316,30501.0
101,1048.0,18.4151992798,29062.0
102,1049.0,18.4322662354,27384.0
103,1050.0,18.4689502716,17445.0
104,1051.0,18.486032486,14084.0
105,1052.0,18.5030994415,11582.0
106,1053.0,18.5202159882,8306.0
107,1054.0,18.5373001099,5552.0
108,1055.0,18.5543670654,3716.0
109,1056.0,18.571434021,2428.0
110,1057.0,18.5885162354,1719.0
111,1058.0,18.6055831909,1350.0
112,1059.0,18.6226501465,965.0
113,1060.0,18.6397342682,702.0
114,1061.0,18.6567993164,576.0
115,1062.0,18.6738834381,615.0
116,1063.0,18.6909503937,652.0
117,1064.0,18.7080173492,585.0
118,1065.0,18.7250995636,313.0
119,1066.0,18.7421665192,399.0
120,1067.0,18.7592506409,602.0
121,1068.0,18.7763175964,1136.0
122,1069.0,18.7933826447,1716.0
123,1070.0,18.8104667664,3090.0
124,1071.0,18.8275337219,3147.0
125,1072.0,18.8446006775,3077.0
126,1073.0,18.8616828918,3119.0
127,1074.0,18.8787498474,2620.0
128,1075.0,18.8958339691,2200.0
129,1076.0,18.9129009247,1619.0
130,1077.0,18.9299659729,1234.0
131,1078.0,18.9470500946,1032.0
132,1079.0,18.9641170502,769.0
133,1080.0,18.9811840057,690.0
134,1081.0,18.9982662201,649.0
135,1082.0,19.0153331757,591.0
136,1083.0,19.0324172974,614.0
137,1084.0,19.0494842529,553.0
138,1085.0,19.0665493011,433.0
139,1086.0,19.0836334229,440.0
140,1087.0,19.1007003784,329.0
141,1088.0,19.117767334,394.0
